product_id,image_ids,primary_image,category,product_type,suggested_name,description_draft,detected_colors,detected_pattern,fabric,dimensions,blouse_included,price_inr,availability,featured,new_arrival,ai_confidence,manual_review_required,review_notes
"PWT-003","pwt-img-003.webp","pwt-img-003.webp","sarees","folded saree-like textile","Unverified green and teal folded saree-like textile","Photograph shows a folded saree-like textile with green and teal visible and a small repeating motif.","green and teal","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-004","pwt-img-004.webp","pwt-img-004.webp","sarees","folded saree-like textile","Unverified red and maroon folded saree-like textile","Photograph shows a folded saree-like textile with red and maroon visible and a repeating diamond motif.","red and maroon","repeating diamond motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-005","pwt-img-005.webp","pwt-img-005.webp","sarees","folded saree-like textile","Unverified cream, black, and brown folded saree-like textile","Photograph shows a folded saree-like textile with cream, black, and brown visible and a wide geometric border.","cream, black, and brown","wide geometric border","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-006","pwt-img-006.webp","pwt-img-006.webp","handbags","handbag","Unverified dark brown and black handbag","Photograph shows a handbag with dark brown and black visible and a patterned textile or plain surface.","dark brown and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-007","pwt-img-007.webp","pwt-img-007.webp","sarees","folded saree-like textile","Unverified orange, red, and green folded saree-like textile","Photograph shows a folded saree-like textile with orange, red, and green visible and a small repeating motif.","orange, red, and green","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-008","pwt-img-008.webp","pwt-img-008.webp","handbags","handbag","Unverified gray and black handbag","Photograph shows a handbag with gray and black visible and a patterned textile or plain surface.","gray and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-009","pwt-img-009.webp","pwt-img-009.webp","textiles","scarf or stole","Unverified red, gray, and blue scarf or stole","Photograph shows a scarf or stole with red, gray, and blue visible and a striped with fringe.","red, gray, and blue","striped with fringe","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Narrow textile form and/or fringe are visible; material and dimensions need owner review."
"PWT-010","pwt-img-010.webp","pwt-img-010.webp","handbags","handbag","Unverified orange and black handbag","Photograph shows a handbag with orange and black visible and a patterned textile or plain surface.","orange and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-011","pwt-img-011.webp","pwt-img-011.webp","handbags","handbag","Unverified teal and black handbag","Photograph shows a handbag with teal and black visible and a patterned textile or plain surface.","teal and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-012","pwt-img-012.webp","pwt-img-012.webp","sarees","folded saree-like textile","Unverified cream, red, and mustard folded saree-like textile","Photograph shows a folded saree-like textile with cream, red, and mustard visible and a color-blocked geometric pattern.","cream, red, and mustard","color-blocked geometric pattern","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-013","pwt-img-013.webp","pwt-img-013.webp","sarees","folded saree-like textile","Unverified maroon and green folded saree-like textile","Photograph shows a folded saree-like textile with maroon and green visible and a bordered woven motif.","maroon and green","bordered woven motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-014","pwt-img-014.webp","pwt-img-014.webp","sarees","folded saree-like textile","Unverified cream, gray, and brown folded saree-like textile","Photograph shows a folded saree-like textile with cream, gray, and brown visible and a zigzag geometric pattern.","cream, gray, and brown","zigzag geometric pattern","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-015","pwt-img-015.webp","pwt-img-015.webp","handbags","handbag","Unverified gray and black handbag","Photograph shows a handbag with gray and black visible and a patterned textile or plain surface.","gray and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-016","pwt-img-016.webp","pwt-img-016.webp","other","assorted small textile pieces","Unverified red, orange, gray, black, and cream assorted small textile pieces","Photograph shows a assorted small textile pieces with red, orange, gray, black, and cream visible and a mixed visible patterns.","red, orange, gray, black, and cream","mixed visible patterns","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","The photograph shows several separate small pieces; it is not treated as one product."
"PWT-017","pwt-img-018.webp","pwt-img-018.webp","handbags","handbag","Unverified navy blue and black handbag","Photograph shows a handbag with navy blue and black visible and a patterned textile or plain surface.","navy blue and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-018","pwt-img-019.webp","pwt-img-019.webp","sarees","folded saree-like textile","Unverified maroon and red folded saree-like textile","Photograph shows a folded saree-like textile with maroon and red visible and a small repeating motif.","maroon and red","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-019","pwt-img-020.webp","pwt-img-020.webp","textiles","scarf or stole","Unverified green, gray, and red scarf or stole","Photograph shows a scarf or stole with green, gray, and red visible and a striped with fringe.","green, gray, and red","striped with fringe","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Narrow textile form and/or fringe are visible; material and dimensions need owner review."
"PWT-020","pwt-img-021.webp","pwt-img-021.webp","sarees","folded saree-like textile","Unverified navy blue and red folded saree-like textile","Photograph shows a folded saree-like textile with navy blue and red visible and a small repeating motif.","navy blue and red","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-021","pwt-img-022.webp","pwt-img-022.webp","sarees","folded saree-like textile","Unverified purple, maroon, and red folded saree-like textile","Photograph shows a folded saree-like textile with purple, maroon, and red visible and a zigzag geometric pattern.","purple, maroon, and red","zigzag geometric pattern","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-022","pwt-img-023.webp","pwt-img-023.webp","sarees","folded saree-like textile","Unverified gray, black, and red folded saree-like textile","Photograph shows a folded saree-like textile with gray, black, and red visible and a repeating geometric motif.","gray, black, and red","repeating geometric motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-023","pwt-img-024.webp","pwt-img-024.webp","handbags","handbag","Unverified black and gray handbag","Photograph shows a handbag with black and gray visible and a patterned textile or plain surface.","black and gray","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-024","pwt-img-025.webp,pwt-img-040.webp","pwt-img-025.webp","sarees","saree-like textile, repeated views","Unverified navy blue and purple saree-like textile, repeated views","Photograph shows a saree-like textile, repeated views with navy blue and purple visible and a small repeating motif with contrasting border.","navy blue and purple","small repeating motif with contrasting border","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","The two photographs show the same apparent textile pattern and color arrangement; owner should confirm the grouping."
"PWT-025","pwt-img-026.webp","pwt-img-026.webp","handbags","handbag","Unverified orange, olive, and black handbag","Photograph shows a handbag with orange, olive, and black visible and a patterned textile or plain surface.","orange, olive, and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-026","pwt-img-027.webp","pwt-img-027.webp","textiles","scarf or stole","Unverified navy blue, cream, and black scarf or stole","Photograph shows a scarf or stole with navy blue, cream, and black visible and a striped with fringe.","navy blue, cream, and black","striped with fringe","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Narrow textile form and/or fringe are visible; material and dimensions need owner review."
"PWT-027","pwt-img-028.webp","pwt-img-028.webp","sarees","folded saree-like textile","Unverified purple, gold, and tan folded saree-like textile","Photograph shows a folded saree-like textile with purple, gold, and tan visible and a zigzag geometric pattern with broad border.","purple, gold, and tan","zigzag geometric pattern with broad border","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-028","pwt-img-029.webp","pwt-img-029.webp","sarees","folded saree-like textile","Unverified green, black, and red folded saree-like textile","Photograph shows a folded saree-like textile with green, black, and red visible and a repeating diamond motif.","green, black, and red","repeating diamond motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-029","pwt-img-030.webp","pwt-img-030.webp","sarees","folded saree-like textile","Unverified maroon and red folded saree-like textile","Photograph shows a folded saree-like textile with maroon and red visible and a small repeating motif.","maroon and red","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-030","pwt-img-031.webp","pwt-img-031.webp","textiles","scarf or stole","Unverified navy blue and red scarf or stole","Photograph shows a scarf or stole with navy blue and red visible and a striped with fringe.","navy blue and red","striped with fringe","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","HIGH","YES","Narrow textile form and/or fringe are visible; material and dimensions need owner review."
"PWT-031","pwt-img-032.webp","pwt-img-032.webp","sarees","folded saree-like textile","Unverified purple and magenta folded saree-like textile","Photograph shows a folded saree-like textile with purple and magenta visible and a small repeating motif.","purple and magenta","small repeating motif","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Exact product type, fiber, and commercial details need owner review."
"PWT-032","pwt-img-033.webp","pwt-img-033.webp","handbags","handbag","Unverified brown and orange handbag","Photograph shows a handbag with brown and orange visible and a patterned textile or plain surface.","brown and orange","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-033","pwt-img-034.webp","pwt-img-034.webp","handbags","handbag","Unverified maroon and black handbag","Photograph shows a handbag with maroon and black visible and a patterned textile or plain surface.","maroon and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
"PWT-034","pwt-img-035.webp","pwt-img-035.webp","handbags","handbag","Unverified teal and black handbag","Photograph shows a handbag with teal and black visible and a patterned textile or plain surface.","teal and black","patterned textile or plain surface","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","false","false","MEDIUM","YES","Bag structure and handles are visible; material and product details need owner review."
